1,"Harding, Paul",OH,6.25,Carpet,700.0,2.25,2.1,1575.0,1470.0,190.31,3235.31
2,"Harding, Crystal",OH,6.25,Carpet,1000.0,2.25,2.1,2250.0,2100.0,271.88,4621.88
3,Uncle Drew,OH,6.25,Carpet,450.0,2.25,2.1,1012.5,945.0,122.34,2079.84
4,"Irving, Kyrie",OH,6.25,Carpet,200.0,2.25,2.1,450.0,420.0,54.38,924.38
5,"James, Lebron",OH,6.25,Tile,200.0,3.5,4.15,700.0,830.0,95.63,1625.63
6,"Kipnis, Jason",OH,6.25,Laminate,300.0,1.75,2.1,525.0,630.0,72.19,1227.19
7,"Harding, Daniel",OH,6.25,Carpet,6000.0,2.25,2.1,13500.0,12600.0,1631.25,27731.25
8,"Martin, Steven",PA,6.75,Laminate,400.0,1.75,2.1,700.0,840.0,103.95,1643.95
10,Lindor,OH,6.25,Laminate,30.0,1.75,2.1,52.5,63.0,7.22,122.72
11,Tim,PA,6.75,Tile,700.0,3.5,4.15,2450.0,2905.0,361.46,5716.46
12,"Harding, Pual",OH,6.25,Carpet,200.0,2.25,2.1,450.0,420.0,54.38,924.38
13,Timothy,MI,5.75,Wood,500.0,5.15,4.75,2575.0,2375.0,284.63,5234.63
14,Lance,IN,6.0,Tile,200.0,3.5,4.15,700.0,830.0,91.8,1621.8
15,Martin,PA,6.75,Laminate,90.0,1.75,2.1,157.5,189.0,23.39,369.89
17,Big Zeke,PA,6.75,Laminate,400.0,1.75,2.1,700.0,840.0,103.95,1643.95
18,Pual,OH,6.25,Tile,45.0,3.5,4.15,157.5,186.75,21.52,365.77
19,Crystal,PA,6.75,Laminate,55.0,1.75,2.1,96.25,115.5,14.29,226.04
20,Paul,OH,6.25,Laminate,400.0,1.75,2.1,700.0,840.0,96.25,1636.25
21,Martin,IN,6.0,Laminate,200.0,1.75,2.1,350.0,420.0,46.2,816.2
