1,Karl,OH,6.25,Carpet,900.0,2.25,2.25,2025.0,2025.0,253.13,4303.13
2,Zeke,OH,6.25,Tile,500.0,3.5,3.5,1750.0,1750.0,218.75,3718.75
3,Paul,OH,6.25,Carpet,1000.0,2.25,2.25,2250.0,2250.0,281.25,4781.25
4,Wesley,PA,6.75,Laminate,5000.0,1.75,1.75,8750.0,8750.0,1181.25,18681.25
6,Stevenson,IN,6.0,Laminate,382.0,1.75,1.75,668.5,668.5,90.24,1427.24
7,Kevin,OH,6.25,Wood,300000.0,5.15,5.15,1545000.0,1545000.0,193125.0,3283125.0
8,Paul H,OH,6.25,Tile,400.0,3.5,3.5,1400.0,1400.0,175.0,2975.0
9,Billy,IN,6.0,Carpet,450.0,2.25,2.25,1012.5,1012.5,121.5,2146.5
10,Will,IN,6.0,Carpet,480.0,2.25,2.25,1080.0,1080.0,129.6,2289.6
12,Stephen,PA,6.75,Laminate,483.0,1.75,1.75,845.25,845.25,114.1,1804.6
14,William,OH,6.25,Wood,100.0,5.15,5.15,515.0,515.0,64.37,1094.36
15,Martin,OH,6.25,Wood,100.0,5.15,4.75,515.0,475.0,61.87,1051.86
16,Big Zeke,OH,6.25,Laminate,93.0,1.75,2.1,162.75,195.3,22.38,380.43
17,Sam,MI,5.75,Carpet,81.0,2.25,2.1,182.25,170.1,20.26,372.61
18,Tim,PA,6.75,Laminate,60.0,1.75,2.1,105.0,126.0,15.59,246.59
19,Jethro,MI,5.75,Carpet,900.0,2.25,2.1,2025.0,1890.0,225.11,4140.1
20,Jason,MI,5.75,Laminate,60.0,1.75,2.1,105.0,126.0,13.28,244.28
21,Paul,PA,6.75,Tile,500.0,3.5,4.15,1750.0,2075.0,258.19,4083.19
22,Frank,PA,6.75,Tile,600.0,3.5,4.15,2100.0,2490.0,309.83,4899.83
23,Crystal,OH,6.25,Carpet,500.0,2.25,2.1,1125.0,1050.0,135.94,2310.94
24,Francisco,OH,6.25,Carpet,500.0,2.25,2.1,1125.0,1050.0,135.94,2310.94
25,Jose,MI,5.75,Carpet,50.0,2.25,2.1,112.5,105.0,12.51,230.01
26,Karen,OH,6.25,Carpet,200.0,2.25,2.1,450.0,420.0,54.38,924.38
27,William,PA,6.75,Tile,600.0,3.5,4.15,2100.0,2490.0,309.83,4899.83
28,Carlton,PA,6.75,Wood,70.0,5.15,4.75,360.5,332.5,46.78,739.78
29,Phil,PA,6.75,Carpet,45.0,2.25,2.1,101.25,94.5,13.21,208.96
30,Karl,OH,6.25,Laminate,50.0,1.75,2.1,87.5,105.0,12.03,204.53
31,Marker,MI,5.75,Carpet,550.0,2.25,2.1,1237.5,1155.0,137.57,2530.07
32,Luis,PA,6.75,Wood,90.0,5.15,4.75,463.5,427.5,60.14,951.14
33,Nahiomy,OH,6.25,Laminate,350.0,1.75,2.1,612.5,735.0,84.22,1431.72
34,David,PA,6.75,Tile,40.0,3.5,4.15,140.0,166.0,20.66,326.66
36,Kyle,MI,5.75,Carpet,30.0,2.25,2.1,67.5,63.0,7.5,138.0
37,Jackeline,MI,5.75,Wood,2.0,5.15,4.75,10.3,9.5,1.14,20.94
38,Buttins,PA,6.75,Tile,400.0,3.5,4.15,1400.0,1660.0,206.55,3266.55
39,Andrew,IN,6.0,Wood,67.0,5.15,4.75,345.05,318.25,39.8,703.09
